N,age,ethnicity,region,sex
2758,Age 35 to 39,other,West Midlands,male
1735,Age 40 to 44,other,West Midlands,male
1393,Age 45 to 49,other,West Midlands,male
1023,Age 50 to 54,other,West Midlands,male
964,Age 55 to 59,other,West Midlands,male
585,Age 60 to 64,other,West Midlands,male
435,Age 65 to 69,other,West Midlands,male
319,Age 70 to 74,other,West Midlands,male
277,Age 75 to 79,other,West Midlands,male
202,Age 80 to 84,other,West Midlands,male
119,Age 85 and over,other,West Midlands,male
395,Age 18 to 19,other,East of England,male
1655,Age 20 to 24,other,East of England,male
2413,Age 25 to 29,other,East of England,male
2102,Age 30 to 34,other,East of England,male
1660,Age 35 to 39,other,East of England,male
1278,Age 40 to 44,other,East of England,male
1069,Age 45 to 49,other,East of England,male
829,Age 50 to 54,other,East of England,male
643,Age 55 to 59,other,East of England,male
467,Age 60 to 64,other,East of England,male
261,Age 65 to 69,other,East of England,male
171,Age 70 to 74,other,East of England,male
84,Age 75 to 79,other,East of England,male
71,Age 80 to 84,other,East of England,male
36,Age 85 and over,other,East of England,male
4160,Age 18 to 19,other,London,male
12817,Age 20 to 24,other,London,male
16225,Age 25 to 29,other,London,male
17113,Age 30 to 34,other,London,male
14439,Age 35 to 39,other,London,male
12771,Age 40 to 44,other,London,male
10306,Age 45 to 49,other,London,male
7331,Age 50 to 54,other,London,male
5439,Age 55 to 59,other,London,male
4183,Age 60 to 64,other,London,male
2621,Age 65 to 69,other,London,male
1853,Age 70 to 74,other,London,male
1260,Age 75 to 79,other,London,male
717,Age 80 to 84,other,London,male
428,Age 85 and over,other,London,male
968,Age 18 to 19,other,South East,male
2693,Age 20 to 24,other,South East,male
2925,Age 25 to 29,other,South East,male
3117,Age 30 to 34,other,South East,male
2811,Age 35 to 39,other,South East,male
2178,Age 40 to 44,other,South East,male
1847,Age 45 to 49,other,South East,male
1515,Age 50 to 54,other,South East,male
1223,Age 55 to 59,other,South East,male
866,Age 60 to 64,other,South East,male
587,Age 65 to 69,other,South East,male
428,Age 70 to 74,other,South East,male
231,Age 75 to 79,other,South East,male
110,Age 80 to 84,other,South East,male
81,Age 85 and over,other,South East,male
303,Age 18 to 19,other,South West,male
899,Age 20 to 24,other,South West,male
1129,Age 25 to 29,other,South West,male
1277,Age 30 to 34,other,South West,male
967,Age 35 to 39,other,South West,male
618,Age 40 to 44,other,South West,male
478,Age 45 to 49,other,South West,male
489,Age 50 to 54,other,South West,male
371,Age 55 to 59,other,South West,male
286,Age 60 to 64,other,South West,male
165,Age 65 to 69,other,South West,male
111,Age 70 to 74,other,South West,male
58,Age 75 to 79,other,South West,male
26,Age 80 to 84,other,South West,male
24,Age 85 and over,other,South West,male
297,Age 18 to 19,other,Wales,male
1062,Age 20 to 24,other,Wales,male
1144,Age 25 to 29,other,Wales,male
1141,Age 30 to 34,other,Wales,male
979,Age 35 to 39,other,Wales,male
569,Age 40 to 44,other,Wales,male
432,Age 45 to 49,other,Wales,male
439,Age 50 to 54,other,Wales,male
278,Age 55 to 59,other,Wales,male
177,Age 60 to 64,other,Wales,male
124,Age 65 to 69,other,Wales,male
66,Age 70 to 74,other,Wales,male
54,Age 75 to 79,other,Wales,male
40,Age 80 to 84,other,Wales,male
39,Age 85 and over,other,Wales,male
34923,Age 18 to 19,white,North East,female
83392,Age 20 to 24,white,North East,female
76921,Age 25 to 29,white,North East,female
70547,Age 30 to 34,white,North East,female
75063,Age 35 to 39,white,North East,female
89839,Age 40 to 44,white,North East,female
97090,Age 45 to 49,white,North East,female
90038,Age 50 to 54,white,North East,female
80011,Age 55 to 59,white,North East,female
84791,Age 60 to 64,white,North East,female
65215,Age 65 to 69,white,North East,female
58621,Age 70 to 74,white,North East,female
49318,Age 75 to 79,white,North East,female
38402,Age 80 to 84,white,North East,female
37564,Age 85 and over,white,North East,female
83669,Age 18 to 19,white,North West,female
211592,Age 20 to 24,white,North West,female
200202,Age 25 to 29,white,North West,female
182583,Age 30 to 34,white,North West,female
200620,Age 35 to 39,white,North West,female
238143,Age 40 to 44,white,North West,female
247791,Age 45 to 49,white,North West,female
220544,Age 50 to 54,white,North West,female
195436,Age 55 to 59,white,North West,female
214398,Age 60 to 64,white,North West,female
170834,Age 65 to 69,white,North West,female
146666,Age 70 to 74,white,North West,female
122921,Age 75 to 79,white,North West,female
98106,Age 80 to 84,white,North West,female
100813,Age 85 and over,white,North West,female
65145,Age 18 to 19,white,Yorkshire and the Humber,female
160621,Age 20 to 24,white,Yorkshire and the Humber,female
144830,Age 25 to 29,white,Yorkshire and the Humber,female
132816,Age 30 to 34,white,Yorkshire and the Humber,female
146945,Age 35 to 39,white,Yorkshire and the Humber,female
174228,Age 40 to 44,white,Yorkshire and the Humber,female
178539,Age 45 to 49,white,Yorkshire and the Humber,female
161966,Age 50 to 54,white,Yorkshire and the Humber,female
144943,Age 55 to 59,white,Yorkshire and the Humber,female
159450,Age 60 to 64,white,Yorkshire and the Humber,female
126477,Age 65 to 69,white,Yorkshire and the Humber,female
108629,Age 70 to 74,white,Yorkshire and the Humber,female
91959,Age 75 to 79,white,Yorkshire and the Humber,female
73177,Age 80 to 84,white,Yorkshire and the Humber,female
76669,Age 85 and over,white,Yorkshire and the Humber,female
52527,Age 18 to 19,white,East Midlands,female
128031,Age 20 to 24,white,East Midlands,female
118331,Age 25 to 29,white,East Midlands,female
113448,Age 30 to 34,white,East Midlands,female
128813,Age 35 to 39,white,East Midlands,female
152846,Age 40 to 44,white,East Midlands,female
156679,Age 45 to 49,white,East Midlands,female
137715,Age 50 to 54,white,East Midlands,female
126210,Age 55 to 59,white,East Midlands,female
140284,Age 60 to 64,white,East Midlands,female
113708,Age 65 to 69,white,East Midlands,female
90593,Age 70 to 74,white,East Midlands,female
76349,Age 75 to 79,white,East Midlands,female
62652,Age 80 to 84,white,East Midlands,female
66792,Age 85 and over,white,East Midlands,female
57450,Age 18 to 19,white,West Midlands,female
144529,Age 20 to 24,white,West Midlands,female
137137,Age 25 to 29,white,West Midlands,female
128409,Age 30 to 34,white,West Midlands,female
142797,Age 35 to 39,white,West Midlands,female
171468,Age 40 to 44,white,West Midlands,female
176590,Age 45 to 49,white,West Midlands,female
155837,Age 50 to 54,white,West Midlands,female
144563,Age 55 to 59,white,West Midlands,female
158521,Age 60 to 64,white,West Midlands,female
134803,Age 65 to 69,white,West Midlands,female
110257,Age 70 to 74,white,West Midlands,female
92635,Age 75 to 79,white,West Midlands,female
75876,Age 80 to 84,white,West Midlands,female
81600,Age 85 and over,white,West Midlands,female
58522,Age 18 to 19,white,East of England,female
151652,Age 20 to 24,white,East of England,female
157335,Age 25 to 29,white,East of England,female
156653,Age 30 to 34,white,East of England,female
172032,Age 35 to 39,white,East of England,female
198403,Age 40 to 44,white,East of England,female
203921,Age 45 to 49,white,East of England,female
179307,Age 50 to 54,white,East of England,female
164240,Age 55 to 59,white,East of England,female
184643,Age 60 to 64,white,East of England,female
146446,Age 65 to 69,white,East of England,female
120292,Age 70 to 74,white,East of England,female
105084,Age 75 to 79,white,East of England,female
86290,Age 80 to 84,white,East of England,female
94044,Age 85 and over,white,East of England,female
48912,Age 18 to 19,white,London,female
179872,Age 20 to 24,white,London,female
255087,Age 25 to 29,white,London,female
233615,Age 30 to 34,white,London,female
189826,Age 35 to 39,white,London,female
177334,Age 40 to 44,white,London,female
170920,Age 45 to 49,white,London,female
146768,Age 50 to 54,white,London,female
127240,Age 55 to 59,white,London,female
130250,Age 60 to 64,white,London,female
100152,Age 65 to 69,white,London,female
84984,Age 70 to 74,white,London,female
76465,Age 75 to 79,white,London,female
65615,Age 80 to 84,white,London,female
75087,Age 85 and over,white,London,female
92872,Age 18 to 19,white,South East,female
230544,Age 20 to 24,white,South East,female
227641,Age 25 to 29,white,South East,female
231450,Age 30 to 34,white,South East,female
256551,Age 35 to 39,white,South East,female
295815,Age 40 to 44,white,South East,female
305172,Age 45 to 49,white,South East,female
266643,Age 50 to 54,white,South East,female
237169,Age 55 to 59,white,South East,female
263095,Age 60 to 64,white,South East,female
212198,Age 65 to 69,white,South East,female
173506,Age 70 to 74,white,South East,female
150476,Age 75 to 79,white,South East,female
125740,Age 80 to 84,white,South East,female
145133,Age 85 and over,white,South East,female
61443,Age 18 to 19,white,South West,female
151029,Age 20 to 24,white,South West,female
140823,Age 25 to 29,white,South West,female
136518,Age 30 to 34,white,South West,female
152669,Age 35 to 39,white,South West,female
181764,Age 40 to 44,white,South West,female
190407,Age 45 to 49,white,South West,female
172589,Age 50 to 54,white,South West,female
161694,Age 55 to 59,white,South West,female
182700,Age 60 to 64,white,South West,female
150696,Age 65 to 69,white,South West,female
121369,Age 70 to 74,white,South West,female
105136,Age 75 to 79,white,South West,female
88265,Age 80 to 84,white,South West,female
102893,Age 85 and over,white,South West,female
39954,Age 18 to 19,white,Wales,female
96153,Age 20 to 24,white,Wales,female
85882,Age 25 to 29,white,Wales,female
80960,Age 30 to 34,white,Wales,female
87227,Age 35 to 39,white,Wales,female
104177,Age 40 to 44,white,Wales,female
108762,Age 45 to 49,white,Wales,female
99935,Age 50 to 54,white,Wales,female
93182,Age 55 to 59,white,Wales,female
102663,Age 60 to 64,white,Wales,female
83939,Age 65 to 69,white,Wales,female
69307,Age 70 to 74,white,Wales,female
58696,Age 75 to 79,white,Wales,female
46023,Age 80 to 84,white,Wales,female
50487,Age 85 and over,white,Wales,female
474,Age 18 to 19,mixed,North East,female
1108,Age 20 to 24,mixed,North East,female
837,Age 25 to 29,mixed,North East,female
753,Age 30 to 34,mixed,North East,female
605,Age 35 to 39,mixed,North East,female
592,Age 40 to 44,mixed,North East,female
482,Age 45 to 49,mixed,North East,female
346,Age 50 to 54,mixed,North East,female
229,Age 55 to 59,mixed,North East,female
207,Age 60 to 64,mixed,North East,female
122,Age 65 to 69,mixed,North East,female
91,Age 70 to 74,mixed,North East,female
98,Age 75 to 79,mixed,North East,female
81,Age 80 to 84,mixed,North East,female
47,Age 85 and over,mixed,North East,female
2406,Age 18 to 19,mixed,North West,female
5545,Age 20 to 24,mixed,North West,female
4403,Age 25 to 29,mixed,North West,female
3578,Age 30 to 34,mixed,North West,female
2959,Age 35 to 39,mixed,North West,female
2961,Age 40 to 44,mixed,North West,female
2490,Age 45 to 49,mixed,North West,female
1594,Age 50 to 54,mixed,North West,female
995,Age 55 to 59,mixed,North West,female
793,Age 60 to 64,mixed,North West,female
542,Age 65 to 69,mixed,North West,female
360,Age 70 to 74,mixed,North West,female
312,Age 75 to 79,mixed,North West,female
232,Age 80 to 84,mixed,North West,female
186,Age 85 and over,mixed,North West,female
2093,Age 18 to 19,mixed,Yorkshire and the Humber,female
4495,Age 20 to 24,mixed,Yorkshire and the Humber,female
3242,Age 25 to 29,mixed,Yorkshire and the Humber,female
2368,Age 30 to 34,mixed,Yorkshire and the Humber,female
1998,Age 35 to 39,mixed,Yorkshire and the Humber,female
2016,Age 40 to 44,mixed,Yorkshire and the Humber,female
1774,Age 45 to 49,mixed,Yorkshire and the Humber,female
1054,Age 50 to 54,mixed,Yorkshire and the Humber,female
618,Age 55 to 59,mixed,Yorkshire and the Humber,female
435,Age 60 to 64,mixed,Yorkshire and the Humber,female
288,Age 65 to 69,mixed,Yorkshire and the Humber,female
243,Age 70 to 74,mixed,Yorkshire and the Humber,female
200,Age 75 to 79,mixed,Yorkshire and the Humber,female
139,Age 80 to 84,mixed,Yorkshire and the Humber,female
128,Age 85 and over,mixed,Yorkshire and the Humber,female
2243,Age 18 to 19,mixed,East Midlands,female
4513,Age 20 to 24,mixed,East Midlands,female
3024,Age 25 to 29,mixed,East Midlands,female
2444,Age 30 to 34,mixed,East Midlands,female
2159,Age 35 to 39,mixed,East Midlands,female
1990,Age 40 to 44,mixed,East Midlands,female
1633,Age 45 to 49,mixed,East Midlands,female
1058,Age 50 to 54,mixed,East Midlands,female
622,Age 55 to 59,mixed,East Midlands,female
411,Age 60 to 64,mixed,East Midlands,female
355,Age 65 to 69,mixed,East Midlands,female
258,Age 70 to 74,mixed,East Midlands,female
194,Age 75 to 79,mixed,East Midlands,female
176,Age 80 to 84,mixed,East Midlands,female
135,Age 85 and over,mixed,East Midlands,female
3254,Age 18 to 19,mixed,West Midlands,female
6998,Age 20 to 24,mixed,West Midlands,female
4856,Age 25 to 29,mixed,West Midlands,female
3569,Age 30 to 34,mixed,West Midlands,female
2920,Age 35 to 39,mixed,West Midlands,female
2863,Age 40 to 44,mixed,West Midlands,female
2471,Age 45 to 49,mixed,West Midlands,female
1468,Age 50 to 54,mixed,West Midlands,female
811,Age 55 to 59,mixed,West Midlands,female
614,Age 60 to 64,mixed,West Midlands,female
414,Age 65 to 69,mixed,West Midlands,female
323,Age 70 to 74,mixed,West Midlands,female
279,Age 75 to 79,mixed,West Midlands,female
181,Age 80 to 84,mixed,West Midlands,female
185,Age 85 and over,mixed,West Midlands,female
2169,Age 18 to 19,mixed,East of England,female
4773,Age 20 to 24,mixed,East of England,female
3829,Age 25 to 29,mixed,East of England,female
3250,Age 30 to 34,mixed,East of England,female
2755,Age 35 to 39,mixed,East of England,female
2652,Age 40 to 44,mixed,East of England,female
2228,Age 45 to 49,mixed,East of England,female
1390,Age 50 to 54,mixed,East of England,female
919,Age 55 to 59,mixed,East of England,female
749,Age 60 to 64,mixed,East of England,female
482,Age 65 to 69,mixed,East of England,female
452,Age 70 to 74,mixed,East of England,female
335,Age 75 to 79,mixed,East of England,female
220,Age 80 to 84,mixed,East of England,female
225,Age 85 and over,mixed,East of England,female
7322,Age 18 to 19,mixed,London,female
19052,Age 20 to 24,mixed,London,female
19880,Age 25 to 29,mixed,London,female
15947,Age 30 to 34,mixed,London,female
12203,Age 35 to 39,mixed,London,female
10452,Age 40 to 44,mixed,London,female
8827,Age 45 to 49,mixed,London,female
5899,Age 50 to 54,mixed,London,female
3641,Age 55 to 59,mixed,London,female
2679,Age 60 to 64,mixed,London,female
2102,Age 65 to 69,mixed,London,female
1592,Age 70 to 74,mixed,London,female
1215,Age 75 to 79,mixed,London,female
824,Age 80 to 84,mixed,London,female
671,Age 85 and over,mixed,London,female
3454,Age 18 to 19,mixed,South East,female
7039,Age 20 to 24,mixed,South East,female
5517,Age 25 to 29,mixed,South East,female
4823,Age 30 to 34,mixed,South East,female
4468,Age 35 to 39,mixed,South East,female
4115,Age 40 to 44,mixed,South East,female
3492,Age 45 to 49,mixed,South East,female
2265,Age 50 to 54,mixed,South East,female
1475,Age 55 to 59,mixed,South East,female
1248,Age 60 to 64,mixed,South East,female
976,Age 65 to 69,mixed,South East,female
701,Age 70 to 74,mixed,South East,female
518,Age 75 to 79,mixed,South East,female
350,Age 80 to 84,mixed,South East,female
348,Age 85 and over,mixed,South East,female
1647,Age 18 to 19,mixed,South West,female
3517,Age 20 to 24,mixed,South West,female
2612,Age 25 to 29,mixed,South West,female
2162,Age 30 to 34,mixed,South West,female
1857,Age 35 to 39,mixed,South West,female
1819,Age 40 to 44,mixed,South West,female
1571,Age 45 to 49,mixed,South West,female
1091,Age 50 to 54,mixed,South West,female
695,Age 55 to 59,mixed,South West,female
583,Age 60 to 64,mixed,South West,female
481,Age 65 to 69,mixed,South West,female
291,Age 70 to 74,mixed,South West,female
269,Age 75 to 79,mixed,South West,female
169,Age 80 to 84,mixed,South West,female
162,Age 85 and over,mixed,South West,female
722,Age 18 to 19,mixed,Wales,female
1624,Age 20 to 24,mixed,Wales,female
1223,Age 25 to 29,mixed,Wales,female
971,Age 30 to 34,mixed,Wales,female
834,Age 35 to 39,mixed,Wales,female
878,Age 40 to 44,mixed,Wales,female
833,Age 45 to 49,mixed,Wales,female
582,Age 50 to 54,mixed,Wales,female
382,Age 55 to 59,mixed,Wales,female
322,Age 60 to 64,mixed,Wales,female
277,Age 65 to 69,mixed,Wales,female
171,Age 70 to 74,mixed,Wales,female
135,Age 75 to 79,mixed,Wales,female
98,Age 80 to 84,mixed,Wales,female
87,Age 85 and over,mixed,Wales,female
1201,Age 18 to 19,asian,North East,female
5108,Age 20 to 24,asian,North East,female
3909,Age 25 to 29,asian,North East,female
3702,Age 30 to 34,asian,North East,female
3343,Age 35 to 39,asian,North East,female
2482,Age 40 to 44,asian,North East,female
1735,Age 45 to 49,asian,North East,female
1379,Age 50 to 54,asian,North East,female
1114,Age 55 to 59,asian,North East,female
813,Age 60 to 64,asian,North East,female
442,Age 65 to 69,asian,North East,female
391,Age 70 to 74,asian,North East,female
308,Age 75 to 79,asian,North East,female
185,Age 80 to 84,asian,North East,female
87,Age 85 and over,asian,North East,female
7061,Age 18 to 19,asian,North West,female
22132,Age 20 to 24,asian,North West,female
22411,Age 25 to 29,asian,North West,female
22110,Age 30 to 34,asian,North West,female
18158,Age 35 to 39,asian,North West,female
14177,Age 40 to 44,asian,North West,female
10204,Age 45 to 49,asian,North West,female
9390,Age 50 to 54,asian,North West,female
7181,Age 55 to 59,asian,North West,female
4876,Age 60 to 64,asian,North West,female
3019,Age 65 to 69,asian,North West,female
2834,Age 70 to 74,asian,North West,female
1958,Age 75 to 79,asian,North West,female
1039,Age 80 to 84,asian,North West,female
622,Age 85 and over,asian,North West,female
6484,Age 18 to 19,asian,Yorkshire and the Humber,female
20028,Age 20 to 24,asian,Yorkshire and the Humber,female
20337,Age 25 to 29,asian,Yorkshire and the Humber,female
19283,Age 30 to 34,asian,Yorkshire and the Humber,female
15320,Age 35 to 39,asian,Yorkshire and the Humber,female
12076,Age 40 to 44,asian,Yorkshire and the Humber,female
7542,Age 45 to 49,asian,Yorkshire and the Humber,female
7301,Age 50 to 54,asian,Yorkshire and the Humber,female
5981,Age 55 to 59,asian,Yorkshire and the Humber,female
4049,Age 60 to 64,asian,Yorkshire and the Humber,female
2491,Age 65 to 69,asian,Yorkshire and the Humber,female
2532,Age 70 to 74,asian,Yorkshire and the Humber,female
1897,Age 75 to 79,asian,Yorkshire and the Humber,female
1025,Age 80 to 84,asian,Yorkshire and the Humber,female
581,Age 85 and over,asian,Yorkshire and the Humber,female
4953,Age 18 to 19,asian,East Midlands,female
15671,Age 20 to 24,asian,East Midlands,female
13770,Age 25 to 29,asian,East Midlands,female
13403,Age 30 to 34,asian,East Midlands,female
11956,Age 35 to 39,asian,East Midlands,female
10712,Age 40 to 44,asian,East Midlands,female
9006,Age 45 to 49,asian,East Midlands,female
8357,Age 50 to 54,asian,East Midlands,female
7106,Age 55 to 59,asian,East Midlands,female
5078,Age 60 to 64,asian,East Midlands,female
3342,Age 65 to 69,asian,East Midlands,female
2908,Age 70 to 74,asian,East Midlands,female
2031,Age 75 to 79,asian,East Midlands,female
1185,Age 80 to 84,asian,East Midlands,female
810,Age 85 and over,asian,East Midlands,female
9494,Age 18 to 19,asian,West Midlands,female
27683,Age 20 to 24,asian,West Midlands,female
29710,Age 25 to 29,asian,West Midlands,female
30326,Age 30 to 34,asian,West Midlands,female
25246,Age 35 to 39,asian,West Midlands,female
20562,Age 40 to 44,asian,West Midlands,female
14310,Age 45 to 49,asian,West Midlands,female
12685,Age 50 to 54,asian,West Midlands,female
11515,Age 55 to 59,asian,West Midlands,female
8344,Age 60 to 64,asian,West Midlands,female
5547,Age 65 to 69,asian,West Midlands,female
4910,Age 70 to 74,asian,West Midlands,female
3748,Age 75 to 79,asian,West Midlands,female
2225,Age 80 to 84,asian,West Midlands,female
1395,Age 85 and over,asian,West Midlands,female
3870,Age 18 to 19,asian,East of England,female
11559,Age 20 to 24,asian,East of England,female
14475,Age 25 to 29,asian,East of England,female
15803,Age 30 to 34,asian,East of England,female
13807,Age 35 to 39,asian,East of England,female
10526,Age 40 to 44,asian,East of England,female
7874,Age 45 to 49,asian,East of England,female
6792,Age 50 to 54,asian,East of England,female
5820,Age 55 to 59,asian,East of England,female
4227,Age 60 to 64,asian,East of England,female
2584,Age 65 to 69,asian,East of England,female
2022,Age 70 to 74,asian,East of England,female
1375,Age 75 to 79,asian,East of England,female
769,Age 80 to 84,asian,East of England,female
478,Age 85 and over,asian,East of England,female
19595,Age 18 to 19,asian,London,female
66880,Age 20 to 24,asian,London,female
86366,Age 25 to 29,asian,London,female
83352,Age 30 to 34,asian,London,female
66987,Age 35 to 39,asian,London,female
53011,Age 40 to 44,asian,London,female
43605,Age 45 to 49,asian,London,female
39152,Age 50 to 54,asian,London,female
34422,Age 55 to 59,asian,London,female
27215,Age 60 to 64,asian,London,female
18504,Age 65 to 69,asian,London,female
15257,Age 70 to 74,asian,London,female
10210,Age 75 to 79,asian,London,female
5750,Age 80 to 84,asian,London,female
3746,Age 85 and over,asian,London,female
6913,Age 18 to 19,asian,South East,female
18935,Age 20 to 24,asian,South East,female
23427,Age 25 to 29,asian,South East,female
26509,Age 30 to 34,asian,South East,female
23221,Age 35 to 39,asian,South East,female
18259,Age 40 to 44,asian,South East,female
13314,Age 45 to 49,asian,South East,female
11333,Age 50 to 54,asian,South East,female
9064,Age 55 to 59,asian,South East,female
7046,Age 60 to 64,asian,South East,female
4142,Age 65 to 69,asian,South East,female
3366,Age 70 to 74,asian,South East,female
2185,Age 75 to 79,asian,South East,female
1155,Age 80 to 84,asian,South East,female
747,Age 85 and over,asian,South East,female
2065,Age 18 to 19,asian,South West,female
5864,Age 20 to 24,asian,South West,female
5620,Age 25 to 29,asian,South West,female
6001,Age 30 to 34,asian,South West,female
5635,Age 35 to 39,asian,South West,female
4500,Age 40 to 44,asian,South West,female
3293,Age 45 to 49,asian,South West,female
2621,Age 50 to 54,asian,South West,female
1950,Age 55 to 59,asian,South West,female
1375,Age 60 to 64,asian,South West,female
807,Age 65 to 69,asian,South West,female
651,Age 70 to 74,asian,South West,female
423,Age 75 to 79,asian,South West,female
247,Age 80 to 84,asian,South West,female
159,Age 85 and over,asian,South West,female
1097,Age 18 to 19,asian,Wales,female
4021,Age 20 to 24,asian,Wales,female
3337,Age 25 to 29,asian,Wales,female
3710,Age 30 to 34,asian,Wales,female
3380,Age 35 to 39,asian,Wales,female
2537,Age 40 to 44,asian,Wales,female
1679,Age 45 to 49,asian,Wales,female
1545,Age 50 to 54,asian,Wales,female
1163,Age 55 to 59,asian,Wales,female
782,Age 60 to 64,asian,Wales,female
471,Age 65 to 69,asian,Wales,female
373,Age 70 to 74,asian,Wales,female
243,Age 75 to 79,asian,Wales,female
128,Age 80 to 84,asian,Wales,female
95,Age 85 and over,asian,Wales,female
222,Age 18 to 19,black,North East,female
552,Age 20 to 24,black,North East,female
694,Age 25 to 29,black,North East,female
803,Age 30 to 34,black,North East,female
626,Age 35 to 39,black,North East,female
434,Age 40 to 44,black,North East,female
293,Age 45 to 49,black,North East,female
201,Age 50 to 54,black,North East,female
95,Age 55 to 59,black,North East,female
62,Age 60 to 64,black,North East,female
38,Age 65 to 69,black,North East,female
30,Age 70 to 74,black,North East,female
20,Age 75 to 79,black,North East,female
8,Age 80 to 84,black,North East,female
5,Age 85 and over,black,North East,female
1557,Age 18 to 19,black,North West,female
3796,Age 20 to 24,black,North West,female
4295,Age 25 to 29,black,North West,female
5015,Age 30 to 34,black,North West,female
4393,Age 35 to 39,black,North West,female
4005,Age 40 to 44,black,North West,female
3517,Age 45 to 49,black,North West,female
2128,Age 50 to 54,black,North West,female
1243,Age 55 to 59,black,North West,female
768,Age 60 to 64,black,North West,female
752,Age 65 to 69,black,North West,female
811,Age 70 to 74,black,North West,female
607,Age 75 to 79,black,North West,female
321,Age 80 to 84,black,North West,female
158,Age 85 and over,black,North West,female
1419,Age 18 to 19,black,Yorkshire and the Humber,female
3336,Age 20 to 24,black,Yorkshire and the Humber,female
3565,Age 25 to 29,black,Yorkshire and the Humber,female
3604,Age 30 to 34,black,Yorkshire and the Humber,female
3361,Age 35 to 39,black,Yorkshire and the Humber,female
3257,Age 40 to 44,black,Yorkshire and the Humber,female
3129,Age 45 to 49,black,Yorkshire and the Humber,female
1976,Age 50 to 54,black,Yorkshire and the Humber,female
1000,Age 55 to 59,black,Yorkshire and the Humber,female
588,Age 60 to 64,black,Yorkshire and the Humber,female
644,Age 65 to 69,black,Yorkshire and the Humber,female
761,Age 70 to 74,black,Yorkshire and the Humber,female
663,Age 75 to 79,black,Yorkshire and the Humber,female
322,Age 80 to 84,black,Yorkshire and the Humber,female
168,Age 85 and over,black,Yorkshire and the Humber,female
1663,Age 18 to 19,black,East Midlands,female
3531,Age 20 to 24,black,East Midlands,female
3163,Age 25 to 29,black,East Midlands,female
3495,Age 30 to 34,black,East Midlands,female
3496,Age 35 to 39,black,East Midlands,female
3675,Age 40 to 44,black,East Midlands,female
3529,Age 45 to 49,black,East Midlands,female
2263,Age 50 to 54,black,East Midlands,female
1210,Age 55 to 59,black,East Midlands,female
766,Age 60 to 64,black,East Midlands,female
735,Age 65 to 69,black,East Midlands,female
894,Age 70 to 74,black,East Midlands,female
572,Age 75 to 79,black,East Midlands,female
357,Age 80 to 84,black,East Midlands,female
183,Age 85 and over,black,East Midlands,female
2964,Age 18 to 19,black,West Midlands,female
6928,Age 20 to 24,black,West Midlands,female
7283,Age 25 to 29,black,West Midlands,female
7866,Age 30 to 34,black,West Midlands,female
7182,Age 35 to 39,black,West Midlands,female
8447,Age 40 to 44,black,West Midlands,female
8917,Age 45 to 49,black,West Midlands,female
5384,Age 50 to 54,black,West Midlands,female
2790,Age 55 to 59,black,West Midlands,female
1698,Age 60 to 64,black,West Midlands,female
1813,Age 65 to 69,black,West Midlands,female
2417,Age 70 to 74,black,West Midlands,female
1872,Age 75 to 79,black,West Midlands,female
1153,Age 80 to 84,black,West Midlands,female
635,Age 85 and over,black,West Midlands,female
1908,Age 18 to 19,black,East of England,female
3900,Age 20 to 24,black,East of England,female
4572,Age 25 to 29,black,East of England,female
5920,Age 30 to 34,black,East of England,female
5800,Age 35 to 39,black,East of England,female
6212,Age 40 to 44,black,East of England,female
5177,Age 45 to 49,black,East of England,female
3001,Age 50 to 54,black,East of England,female
1763,Age 55 to 59,black,East of England,female
1056,Age 60 to 64,black,East of England,female
948,Age 65 to 69,black,East of England,female
804,Age 70 to 74,black,East of England,female
633,Age 75 to 79,black,East of England,female
299,Age 80 to 84,black,East of England,female
187,Age 85 and over,black,East of England,female
16050,Age 18 to 19,black,London,female
42439,Age 20 to 24,black,London,female
45478,Age 25 to 29,black,London,female
46984,Age 30 to 34,black,London,female
46863,Age 35 to 39,black,London,female
54147,Age 40 to 44,black,London,female
51143,Age 45 to 49,black,London,female
34820,Age 50 to 54,black,London,female
20087,Age 55 to 59,black,London,female
13072,Age 60 to 64,black,London,female
12292,Age 65 to 69,black,London,female
11780,Age 70 to 74,black,London,female
8081,Age 75 to 79,black,London,female
4553,Age 80 to 84,black,London,female
2519,Age 85 and over,black,London,female
2368,Age 18 to 19,black,South East,female
5023,Age 20 to 24,black,South East,female
5582,Age 25 to 29,black,South East,female
7132,Age 30 to 34,black,South East,female
6772,Age 35 to 39,black,South East,female
6604,Age 40 to 44,black,South East,female
5369,Age 45 to 49,black,South East,female
3528,Age 50 to 54,black,South East,female
2053,Age 55 to 59,black,South East,female
1357,Age 60 to 64,black,South East,female
1057,Age 65 to 69,black,South East,female
860,Age 70 to 74,black,South East,female
548,Age 75 to 79,black,South East,female
273,Age 80 to 84,black,South East,female
164,Age 85 and over,black,South East,female
792,Age 18 to 19,black,South West,female
1850,Age 20 to 24,black,South West,female
2174,Age 25 to 29,black,South West,female
2168,Age 30 to 34,black,South West,female
1973,Age 35 to 39,black,South West,female
1926,Age 40 to 44,black,South West,female
1823,Age 45 to 49,black,South West,female
1213,Age 50 to 54,black,South West,female
706,Age 55 to 59,black,South West,female
459,Age 60 to 64,black,South West,female
428,Age 65 to 69,black,South West,female
458,Age 70 to 74,black,South West,female
409,Age 75 to 79,black,South West,female
228,Age 80 to 84,black,South West,female
123,Age 85 and over,black,South West,female
301,Age 18 to 19,black,Wales,female
839,Age 20 to 24,black,Wales,female
