N,age,ethnicity,region,sex
39971,Age 18 to 19,white,Wales,male
99981,Age 20 to 24,white,Wales,male
86453,Age 25 to 29,white,Wales,male
80645,Age 30 to 34,white,Wales,male
84198,Age 35 to 39,white,Wales,male
99535,Age 40 to 44,white,Wales,male
104818,Age 45 to 49,white,Wales,male
96044,Age 50 to 54,white,Wales,male
89844,Age 55 to 59,white,Wales,male
99548,Age 60 to 64,white,Wales,male
80102,Age 65 to 69,white,Wales,male
63420,Age 70 to 74,white,Wales,male
48334,Age 75 to 79,white,Wales,male
32574,Age 80 to 84,white,Wales,male
23577,Age 85 and over,white,Wales,male
529,Age 18 to 19,mixed,North East,male
1137,Age 20 to 24,mixed,North East,male
869,Age 25 to 29,mixed,North East,male
764,Age 30 to 34,mixed,North East,male
598,Age 35 to 39,mixed,North East,male
563,Age 40 to 44,mixed,North East,male
555,Age 45 to 49,mixed,North East,male
403,Age 50 to 54,mixed,North East,male
234,Age 55 to 59,mixed,North East,male
188,Age 60 to 64,mixed,North East,male
133,Age 65 to 69,mixed,North East,male
115,Age 70 to 74,mixed,North East,male
79,Age 75 to 79,mixed,North East,male
57,Age 80 to 84,mixed,North East,male
42,Age 85 and over,mixed,North East,male
2369,Age 18 to 19,mixed,North West,male
5557,Age 20 to 24,mixed,North West,male
4382,Age 25 to 29,mixed,North West,male
3282,Age 30 to 34,mixed,North West,male
2750,Age 35 to 39,mixed,North West,male
2777,Age 40 to 44,mixed,North West,male
2475,Age 45 to 49,mixed,North West,male
1628,Age 50 to 54,mixed,North West,male
1025,Age 55 to 59,mixed,North West,male
784,Age 60 to 64,mixed,North West,male
558,Age 65 to 69,mixed,North West,male
362,Age 70 to 74,mixed,North West,male
277,Age 75 to 79,mixed,North West,male
208,Age 80 to 84,mixed,North West,male
158,Age 85 and over,mixed,North West,male
1949,Age 18 to 19,mixed,Yorkshire and the Humber,male
4353,Age 20 to 24,mixed,Yorkshire and the Humber,male
3319,Age 25 to 29,mixed,Yorkshire and the Humber,male
2611,Age 30 to 34,mixed,Yorkshire and the Humber,male
2098,Age 35 to 39,mixed,Yorkshire and the Humber,male
2204,Age 40 to 44,mixed,Yorkshire and the Humber,male
1800,Age 45 to 49,mixed,Yorkshire and the Humber,male
1033,Age 50 to 54,mixed,Yorkshire and the Humber,male
629,Age 55 to 59,mixed,Yorkshire and the Humber,male
433,Age 60 to 64,mixed,Yorkshire and the Humber,male
330,Age 65 to 69,mixed,Yorkshire and the Humber,male
247,Age 70 to 74,mixed,Yorkshire and the Humber,male
213,Age 75 to 79,mixed,Yorkshire and the Humber,male
133,Age 80 to 84,mixed,Yorkshire and the Humber,male
88,Age 85 and over,mixed,Yorkshire and the Humber,male
2046,Age 18 to 19,mixed,East Midlands,male
4674,Age 20 to 24,mixed,East Midlands,male
3515,Age 25 to 29,mixed,East Midlands,male
3007,Age 30 to 34,mixed,East Midlands,male
2047,Age 35 to 39,mixed,East Midlands,male
1949,Age 40 to 44,mixed,East Midlands,male
1625,Age 45 to 49,mixed,East Midlands,male
1098,Age 50 to 54,mixed,East Midlands,male
637,Age 55 to 59,mixed,East Midlands,male
436,Age 60 to 64,mixed,East Midlands,male
351,Age 65 to 69,mixed,East Midlands,male
223,Age 70 to 74,mixed,East Midlands,male
161,Age 75 to 79,mixed,East Midlands,male
123,Age 80 to 84,mixed,East Midlands,male
82,Age 85 and over,mixed,East Midlands,male
3248,Age 18 to 19,mixed,West Midlands,male
6576,Age 20 to 24,mixed,West Midlands,male
5001,Age 25 to 29,mixed,West Midlands,male
3473,Age 30 to 34,mixed,West Midlands,male
2775,Age 35 to 39,mixed,West Midlands,male
2661,Age 40 to 44,mixed,West Midlands,male
2417,Age 45 to 49,mixed,West Midlands,male
1386,Age 50 to 54,mixed,West Midlands,male
757,Age 55 to 59,mixed,West Midlands,male
523,Age 60 to 64,mixed,West Midlands,male
415,Age 65 to 69,mixed,West Midlands,male
341,Age 70 to 74,mixed,West Midlands,male
284,Age 75 to 79,mixed,West Midlands,male
203,Age 80 to 84,mixed,West Midlands,male
126,Age 85 and over,mixed,West Midlands,male
2251,Age 18 to 19,mixed,East of England,male
4898,Age 20 to 24,mixed,East of England,male
4114,Age 25 to 29,mixed,East of England,male
3446,Age 30 to 34,mixed,East of England,male
2754,Age 35 to 39,mixed,East of England,male
2510,Age 40 to 44,mixed,East of England,male
2120,Age 45 to 49,mixed,East of England,male
1437,Age 50 to 54,mixed,East of England,male
788,Age 55 to 59,mixed,East of England,male
575,Age 60 to 64,mixed,East of England,male
496,Age 65 to 69,mixed,East of England,male
355,Age 70 to 74,mixed,East of England,male
301,Age 75 to 79,mixed,East of England,male
194,Age 80 to 84,mixed,East of England,male
163,Age 85 and over,mixed,East of England,male
6885,Age 18 to 19,mixed,London,male
17862,Age 20 to 24,mixed,London,male
18382,Age 25 to 29,mixed,London,male
14984,Age 30 to 34,mixed,London,male
10923,Age 35 to 39,mixed,London,male
9753,Age 40 to 44,mixed,London,male
7803,Age 45 to 49,mixed,London,male
4956,Age 50 to 54,mixed,London,male
3015,Age 55 to 59,mixed,London,male
2026,Age 60 to 64,mixed,London,male
1681,Age 65 to 69,mixed,London,male
1535,Age 70 to 74,mixed,London,male
1119,Age 75 to 79,mixed,London,male
690,Age 80 to 84,mixed,London,male
420,Age 85 and over,mixed,London,male
3443,Age 18 to 19,mixed,South East,male
7259,Age 20 to 24,mixed,South East,male
5842,Age 25 to 29,mixed,South East,male
4809,Age 30 to 34,mixed,South East,male
4018,Age 35 to 39,mixed,South East,male
3956,Age 40 to 44,mixed,South East,male
3388,Age 45 to 49,mixed,South East,male
2168,Age 50 to 54,mixed,South East,male
1419,Age 55 to 59,mixed,South East,male
1085,Age 60 to 64,mixed,South East,male
879,Age 65 to 69,mixed,South East,male
633,Age 70 to 74,mixed,South East,male
449,Age 75 to 79,mixed,South East,male
276,Age 80 to 84,mixed,South East,male
192,Age 85 and over,mixed,South East,male
1592,Age 18 to 19,mixed,South West,male
3661,Age 20 to 24,mixed,South West,male
2835,Age 25 to 29,mixed,South West,male
2240,Age 30 to 34,mixed,South West,male
1901,Age 35 to 39,mixed,South West,male
1690,Age 40 to 44,mixed,South West,male
1505,Age 45 to 49,mixed,South West,male
986,Age 50 to 54,mixed,South West,male
644,Age 55 to 59,mixed,South West,male
504,Age 60 to 64,mixed,South West,male
440,Age 65 to 69,mixed,South West,male
287,Age 70 to 74,mixed,South West,male
223,Age 75 to 79,mixed,South West,male
143,Age 80 to 84,mixed,South West,male
112,Age 85 and over,mixed,South West,male
749,Age 18 to 19,mixed,Wales,male
1640,Age 20 to 24,mixed,Wales,male
1179,Age 25 to 29,mixed,Wales,male
1005,Age 30 to 34,mixed,Wales,male
791,Age 35 to 39,mixed,Wales,male
850,Age 40 to 44,mixed,Wales,male
756,Age 45 to 49,mixed,Wales,male
549,Age 50 to 54,mixed,Wales,male
435,Age 55 to 59,mixed,Wales,male
291,Age 60 to 64,mixed,Wales,male
252,Age 65 to 69,mixed,Wales,male
202,Age 70 to 74,mixed,Wales,male
155,Age 75 to 79,mixed,Wales,male
81,Age 80 to 84,mixed,Wales,male
68,Age 85 and over,mixed,Wales,male
1237,Age 18 to 19,asian,North East,male
5907,Age 20 to 24,asian,North East,male
4429,Age 25 to 29,asian,North East,male
3904,Age 30 to 34,asian,North East,male
3551,Age 35 to 39,asian,North East,male
2671,Age 40 to 44,asian,North East,male
1832,Age 45 to 49,asian,North East,male
1497,Age 50 to 54,asian,North East,male
1080,Age 55 to 59,asian,North East,male
699,Age 60 to 64,asian,North East,male
482,Age 65 to 69,asian,North East,male
475,Age 70 to 74,asian,North East,male
353,Age 75 to 79,asian,North East,male
165,Age 80 to 84,asian,North East,male
56,Age 85 and over,asian,North East,male
7620,Age 18 to 19,asian,North West,male
22616,Age 20 to 24,asian,North West,male
21967,Age 25 to 29,asian,North West,male
22301,Age 30 to 34,asian,North West,male
19379,Age 35 to 39,asian,North West,male
15053,Age 40 to 44,asian,North West,male
10043,Age 45 to 49,asian,North West,male
9178,Age 50 to 54,asian,North West,male
7611,Age 55 to 59,asian,North West,male
4370,Age 60 to 64,asian,North West,male
2997,Age 65 to 69,asian,North West,male
3228,Age 70 to 74,asian,North West,male
2134,Age 75 to 79,asian,North West,male
978,Age 80 to 84,asian,North West,male
469,Age 85 and over,asian,North West,male
6998,Age 18 to 19,asian,Yorkshire and the Humber,male
20211,Age 20 to 24,asian,Yorkshire and the Humber,male
19801,Age 25 to 29,asian,Yorkshire and the Humber,male
20048,Age 30 to 34,asian,Yorkshire and the Humber,male
16701,Age 35 to 39,asian,Yorkshire and the Humber,male
12578,Age 40 to 44,asian,Yorkshire and the Humber,male
7424,Age 45 to 49,asian,Yorkshire and the Humber,male
7071,Age 50 to 54,asian,Yorkshire and the Humber,male
6544,Age 55 to 59,asian,Yorkshire and the Humber,male
3359,Age 60 to 64,asian,Yorkshire and the Humber,male
2223,Age 65 to 69,asian,Yorkshire and the Humber,male
2543,Age 70 to 74,asian,Yorkshire and the Humber,male
1825,Age 75 to 79,asian,Yorkshire and the Humber,male
978,Age 80 to 84,asian,Yorkshire and the Humber,male
442,Age 85 and over,asian,Yorkshire and the Humber,male
5356,Age 18 to 19,asian,East Midlands,male
15978,Age 20 to 24,asian,East Midlands,male
13709,Age 25 to 29,asian,East Midlands,male
13469,Age 30 to 34,asian,East Midlands,male
11732,Age 35 to 39,asian,East Midlands,male
10062,Age 40 to 44,asian,East Midlands,male
8466,Age 45 to 49,asian,East Midlands,male
8234,Age 50 to 54,asian,East Midlands,male
7271,Age 55 to 59,asian,East Midlands,male
4701,Age 60 to 64,asian,East Midlands,male
3036,Age 65 to 69,asian,East Midlands,male
2675,Age 70 to 74,asian,East Midlands,male
1760,Age 75 to 79,asian,East Midlands,male
894,Age 80 to 84,asian,East Midlands,male
564,Age 85 and over,asian,East Midlands,male
10208,Age 18 to 19,asian,West Midlands,male
29023,Age 20 to 24,asian,West Midlands,male
30151,Age 25 to 29,asian,West Midlands,male
29705,Age 30 to 34,asian,West Midlands,male
26452,Age 35 to 39,asian,West Midlands,male
21350,Age 40 to 44,asian,West Midlands,male
14150,Age 45 to 49,asian,West Midlands,male
12343,Age 50 to 54,asian,West Midlands,male
11446,Age 55 to 59,asian,West Midlands,male
6866,Age 60 to 64,asian,West Midlands,male
4608,Age 65 to 69,asian,West Midlands,male
4716,Age 70 to 74,asian,West Midlands,male
3468,Age 75 to 79,asian,West Midlands,male
2011,Age 80 to 84,asian,West Midlands,male
1058,Age 85 and over,asian,West Midlands,male
4078,Age 18 to 19,asian,East of England,male
12899,Age 20 to 24,asian,East of England,male
14043,Age 25 to 29,asian,East of England,male
15001,Age 30 to 34,asian,East of England,male
13650,Age 35 to 39,asian,East of England,male
10241,Age 40 to 44,asian,East of England,male
7313,Age 45 to 49,asian,East of England,male
6199,Age 50 to 54,asian,East of England,male
5108,Age 55 to 59,asian,East of England,male
3538,Age 60 to 64,asian,East of England,male
2373,Age 65 to 69,asian,East of England,male
2309,Age 70 to 74,asian,East of England,male
1455,Age 75 to 79,asian,East of England,male
699,Age 80 to 84,asian,East of England,male
348,Age 85 and over,asian,East of England,male
21748,Age 18 to 19,asian,London,male
77042,Age 20 to 24,asian,London,male
91126,Age 25 to 29,asian,London,male
86264,Age 30 to 34,asian,London,male
68640,Age 35 to 39,asian,London,male
52662,Age 40 to 44,asian,London,male
41223,Age 45 to 49,asian,London,male
37860,Age 50 to 54,asian,London,male
31132,Age 55 to 59,asian,London,male
21583,Age 60 to 64,asian,London,male
15331,Age 65 to 69,asian,London,male
15533,Age 70 to 74,asian,London,male
10745,Age 75 to 79,asian,London,male
5211,Age 80 to 84,asian,London,male
2626,Age 85 and over,asian,London,male
6999,Age 18 to 19,asian,South East,male
20346,Age 20 to 24,asian,South East,male
22705,Age 25 to 29,asian,South East,male
24884,Age 30 to 34,asian,South East,male
22133,Age 35 to 39,asian,South East,male
17549,Age 40 to 44,asian,South East,male
12720,Age 45 to 49,asian,South East,male
10372,Age 50 to 54,asian,South East,male
8349,Age 55 to 59,asian,South East,male
5576,Age 60 to 64,asian,South East,male
3859,Age 65 to 69,asian,South East,male
3604,Age 70 to 74,asian,South East,male
2296,Age 75 to 79,asian,South East,male
1039,Age 80 to 84,asian,South East,male
511,Age 85 and over,asian,South East,male
2048,Age 18 to 19,asian,South West,male
6039,Age 20 to 24,asian,South West,male
5267,Age 25 to 29,asian,South West,male
5806,Age 30 to 34,asian,South West,male
5245,Age 35 to 39,asian,South West,male
4013,Age 40 to 44,asian,South West,male
2840,Age 45 to 49,asian,South West,male
2333,Age 50 to 54,asian,South West,male
1712,Age 55 to 59,asian,South West,male
1140,Age 60 to 64,asian,South West,male
714,Age 65 to 69,asian,South West,male
635,Age 70 to 74,asian,South West,male
460,Age 75 to 79,asian,South West,male
197,Age 80 to 84,asian,South West,male
103,Age 85 and over,asian,South West,male
1187,Age 18 to 19,asian,Wales,male
5184,Age 20 to 24,asian,Wales,male
3823,Age 25 to 29,asian,Wales,male
3532,Age 30 to 34,asian,Wales,male
3473,Age 35 to 39,asian,Wales,male
2678,Age 40 to 44,asian,Wales,male
1759,Age 45 to 49,asian,Wales,male
1484,Age 50 to 54,asian,Wales,male
1058,Age 55 to 59,asian,Wales,male
711,Age 60 to 64,asian,Wales,male
510,Age 65 to 69,asian,Wales,male
665,Age 70 to 74,asian,Wales,male
324,Age 75 to 79,asian,Wales,male
130,Age 80 to 84,asian,Wales,male
59,Age 85 and over,asian,Wales,male
219,Age 18 to 19,black,North East,male
637,Age 20 to 24,black,North East,male
943,Age 25 to 29,black,North East,male
1074,Age 30 to 34,black,North East,male
865,Age 35 to 39,black,North East,male
634,Age 40 to 44,black,North East,male
357,Age 45 to 49,black,North East,male
235,Age 50 to 54,black,North East,male
135,Age 55 to 59,black,North East,male
73,Age 60 to 64,black,North East,male
36,Age 65 to 69,black,North East,male
51,Age 70 to 74,black,North East,male
33,Age 75 to 79,black,North East,male
18,Age 80 to 84,black,North East,male
8,Age 85 and over,black,North East,male
1530,Age 18 to 19,black,North West,male
3821,Age 20 to 24,black,North West,male
4415,Age 25 to 29,black,North West,male
5096,Age 30 to 34,black,North West,male
4587,Age 35 to 39,black,North West,male
4792,Age 40 to 44,black,North West,male
3640,Age 45 to 49,black,North West,male
2547,Age 50 to 54,black,North West,male
1267,Age 55 to 59,black,North West,male
802,Age 60 to 64,black,North West,male
623,Age 65 to 69,black,North West,male
825,Age 70 to 74,black,North West,male
661,Age 75 to 79,black,North West,male
403,Age 80 to 84,black,North West,male
247,Age 85 and over,black,North West,male
1387,Age 18 to 19,black,Yorkshire and the Humber,male
3621,Age 20 to 24,black,Yorkshire and the Humber,male
3506,Age 25 to 29,black,Yorkshire and the Humber,male
4312,Age 30 to 34,black,Yorkshire and the Humber,male
4155,Age 35 to 39,black,Yorkshire and the Humber,male
4016,Age 40 to 44,black,Yorkshire and the Humber,male
3613,Age 45 to 49,black,Yorkshire and the Humber,male
2120,Age 50 to 54,black,Yorkshire and the Humber,male
1066,Age 55 to 59,black,Yorkshire and the Humber,male
543,Age 60 to 64,black,Yorkshire and the Humber,male
599,Age 65 to 69,black,Yorkshire and the Humber,male
742,Age 70 to 74,black,Yorkshire and the Humber,male
637,Age 75 to 79,black,Yorkshire and the Humber,male
348,Age 80 to 84,black,Yorkshire and the Humber,male
156,Age 85 and over,black,Yorkshire and the Humber,male
1481,Age 18 to 19,black,East Midlands,male
3209,Age 20 to 24,black,East Midlands,male
3004,Age 25 to 29,black,East Midlands,male
3601,Age 30 to 34,black,East Midlands,male
3632,Age 35 to 39,black,East Midlands,male
3728,Age 40 to 44,black,East Midlands,male
3789,Age 45 to 49,black,East Midlands,male
2365,Age 50 to 54,black,East Midlands,male
1242,Age 55 to 59,black,East Midlands,male
612,Age 60 to 64,black,East Midlands,male
569,Age 65 to 69,black,East Midlands,male
803,Age 70 to 74,black,East Midlands,male
642,Age 75 to 79,black,East Midlands,male
349,Age 80 to 84,black,East Midlands,male
192,Age 85 and over,black,East Midlands,male
2918,Age 18 to 19,black,West Midlands,male
6534,Age 20 to 24,black,West Midlands,male
6549,Age 25 to 29,black,West Midlands,male
6848,Age 30 to 34,black,West Midlands,male
6825,Age 35 to 39,black,West Midlands,male
7990,Age 40 to 44,black,West Midlands,male
8291,Age 45 to 49,black,West Midlands,male
5092,Age 50 to 54,black,West Midlands,male
2700,Age 55 to 59,black,West Midlands,male
1310,Age 60 to 64,black,West Midlands,male
1387,Age 65 to 69,black,West Midlands,male
2094,Age 70 to 74,black,West Midlands,male
1849,Age 75 to 79,black,West Midlands,male
1099,Age 80 to 84,black,West Midlands,male
585,Age 85 and over,black,West Midlands,male
1819,Age 18 to 19,black,East of England,male
4292,Age 20 to 24,black,East of England,male
4405,Age 25 to 29,black,East of England,male
5213,Age 30 to 34,black,East of England,male
5743,Age 35 to 39,black,East of England,male
6111,Age 40 to 44,black,East of England,male
5734,Age 45 to 49,black,East of England,male
3318,Age 50 to 54,black,East of England,male
1745,Age 55 to 59,black,East of England,male
886,Age 60 to 64,black,East of England,male
757,Age 65 to 69,black,East of England,male
795,Age 70 to 74,black,East of England,male
632,Age 75 to 79,black,East of England,male
271,Age 80 to 84,black,East of England,male
136,Age 85 and over,black,East of England,male
15487,Age 18 to 19,black,London,male
37747,Age 20 to 24,black,London,male
37831,Age 25 to 29,black,London,male
37537,Age 30 to 34,black,London,male
36326,Age 35 to 39,black,London,male
43272,Age 40 to 44,black,London,male
41388,Age 45 to 49,black,London,male
28571,Age 50 to 54,black,London,male
15666,Age 55 to 59,black,London,male
9135,Age 60 to 64,black,London,male
7887,Age 65 to 69,black,London,male
9893,Age 70 to 74,black,London,male
7100,Age 75 to 79,black,London,male
3648,Age 80 to 84,black,London,male
1782,Age 85 and over,black,London,male
2237,Age 18 to 19,black,South East,male
5030,Age 20 to 24,black,South East,male
5349,Age 25 to 29,black,South East,male
6880,Age 30 to 34,black,South East,male
6561,Age 35 to 39,black,South East,male
7069,Age 40 to 44,black,South East,male
5944,Age 45 to 49,black,South East,male
3599,Age 50 to 54,black,South East,male
1924,Age 55 to 59,black,South East,male
1022,Age 60 to 64,black,South East,male
859,Age 65 to 69,black,South East,male
863,Age 70 to 74,black,South East,male
544,Age 75 to 79,black,South East,male
270,Age 80 to 84,black,South East,male
148,Age 85 and over,black,South East,male
779,Age 18 to 19,black,South West,male
1910,Age 20 to 24,black,South West,male
2112,Age 25 to 29,black,South West,male
2622,Age 30 to 34,black,South West,male
2303,Age 35 to 39,black,South West,male
2310,Age 40 to 44,black,South West,male
2246,Age 45 to 49,black,South West,male
1346,Age 50 to 54,black,South West,male
681,Age 55 to 59,black,South West,male
380,Age 60 to 64,black,South West,male
364,Age 65 to 69,black,South West,male
430,Age 70 to 74,black,South West,male
355,Age 75 to 79,black,South West,male
196,Age 80 to 84,black,South West,male
106,Age 85 and over,black,South West,male
327,Age 18 to 19,black,Wales,male
898,Age 20 to 24,black,Wales,male
1163,Age 25 to 29,black,Wales,male
1230,Age 30 to 34,black,Wales,male
897,Age 35 to 39,black,Wales,male
859,Age 40 to 44,black,Wales,male
763,Age 45 to 49,black,Wales,male
445,Age 50 to 54,black,Wales,male
239,Age 55 to 59,black,Wales,male
140,Age 60 to 64,black,Wales,male
128,Age 65 to 69,black,Wales,male
151,Age 70 to 74,black,Wales,male
127,Age 75 to 79,black,Wales,male
63,Age 80 to 84,black,Wales,male
77,Age 85 and over,black,Wales,male
251,Age 18 to 19,other,North East,male
716,Age 20 to 24,other,North East,male
761,Age 25 to 29,other,North East,male
957,Age 30 to 34,other,North East,male
807,Age 35 to 39,other,North East,male
490,Age 40 to 44,other,North East,male
353,Age 45 to 49,other,North East,male
339,Age 50 to 54,other,North East,male
217,Age 55 to 59,other,North East,male
113,Age 60 to 64,other,North East,male
69,Age 65 to 69,other,North East,male
45,Age 70 to 74,other,North East,male
28,Age 75 to 79,other,North East,male
17,Age 80 to 84,other,North East,male
17,Age 85 and over,other,North East,male
770,Age 18 to 19,other,North West,male
2629,Age 20 to 24,other,North West,male
3563,Age 25 to 29,other,North West,male
3770,Age 30 to 34,other,North West,male
2760,Age 35 to 39,other,North West,male
1810,Age 40 to 44,other,North West,male
1310,Age 45 to 49,other,North West,male
1160,Age 50 to 54,other,North West,male
820,Age 55 to 59,other,North West,male
478,Age 60 to 64,other,North West,male
279,Age 65 to 69,other,North West,male
194,Age 70 to 74,other,North West,male
104,Age 75 to 79,other,North West,male
111,Age 80 to 84,other,North West,male
45,Age 85 and over,other,North West,male
716,Age 18 to 19,other,Yorkshire and the Humber,male
2460,Age 20 to 24,other,Yorkshire and the Humber,male
3086,Age 25 to 29,other,Yorkshire and the Humber,male
3627,Age 30 to 34,other,Yorkshire and the Humber,male
2721,Age 35 to 39,other,Yorkshire and the Humber,male
1814,Age 40 to 44,other,Yorkshire and the Humber,male
954,Age 45 to 49,other,Yorkshire and the Humber,male
846,Age 50 to 54,other,Yorkshire and the Humber,male
629,Age 55 to 59,other,Yorkshire and the Humber,male
360,Age 60 to 64,other,Yorkshire and the Humber,male
198,Age 65 to 69,other,Yorkshire and the Humber,male
179,Age 70 to 74,other,Yorkshire and the Humber,male
139,Age 75 to 79,other,Yorkshire and the Humber,male
132,Age 80 to 84,other,Yorkshire and the Humber,male
67,Age 85 and over,other,Yorkshire and the Humber,male
403,Age 18 to 19,other,East Midlands,male
1575,Age 20 to 24,other,East Midlands,male
2105,Age 25 to 29,other,East Midlands,male
2155,Age 30 to 34,other,East Midlands,male
1710,Age 35 to 39,other,East Midlands,male
1053,Age 40 to 44,other,East Midlands,male
756,Age 45 to 49,other,East Midlands,male
584,Age 50 to 54,other,East Midlands,male
536,Age 55 to 59,other,East Midlands,male
309,Age 60 to 64,other,East Midlands,male
191,Age 65 to 69,other,East Midlands,male
112,Age 70 to 74,other,East Midlands,male
68,Age 75 to 79,other,East Midlands,male
47,Age 80 to 84,other,East Midlands,male
50,Age 85 and over,other,East Midlands,male
906,Age 18 to 19,other,West Midlands,male
2693,Age 20 to 24,other,West Midlands,male
3273,Age 25 to 29,other,West Midlands,male
3369,Age 30 to 34,other,West Midlands,male
