"","V1","V2"
"142","2.7.5.7","3334.22183071513"
"143","1.8.5.7","10687.7742960189"
"144","2.8.5.7","10972.2744921972"
"145","1.9.5.7","14131.6639537276"
"146","2.9.5.7","14507.8378001999"
"147","1.10.5.7","35134.7185739011"
"148","2.10.5.7","36069.9773144103"
"149","1.11.5.7","23580.0084989482"
"150","2.11.5.7","24207.6898906046"
"151","1.12.5.7","5812.20212338505"
"152","2.12.5.7","5966.91839999528"
"153","1.13.5.7","8025.65373211211"
"154","2.13.5.7","8239.29036009507"
"155","1.14.5.7","5236.5805178381"
"156","2.14.5.7","5375.97419732317"
"157","1.15.5.7","1366.97619279497"
"158","2.15.5.7","1403.36403036055"
"159","1.16.5.7","720.286211945579"
"160","2.16.5.7","739.459667795907"
